leg_id,full_name,first_name,last_name,chamber,district,party,transparencydata_id,total_received,photo_url
NCL000196,Tommy Tucker,Tommy,Tucker,upper,35,Republican,http://influenceexplorer.com/politician/id/a1de7a1c52684cf585ad82dd68f73967,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/310.jpg
NCL000148,Garland E Pierce,Garland,Pierce,lower,48,Democratic,http://influenceexplorer.com/politician/id/a2ee56fda05d4457a87974ecb88d9c00,,http://www.ncga.state.nc.us/House/pictures/hiRes/497.jpg
NCL000072,Angela R Bryant,Angela,Bryant,upper,4,Democratic,http://influenceexplorer.com/politician/id/a34cf80039d6489e83bb80f488e0542e,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/382.jpg
NCL000083,Namon Leo Daughtry,Namon,Daughtry,lower,26,Republican,http://influenceexplorer.com/politician/id/a4c9df314693479eb51c9cd68aef7c51,,http://www.ncga.state.nc.us/House/pictures/hiRes/26.jpg
NCL000224,Harry Warren,Harry,Warren,lower,77,Republican,http://influenceexplorer.com/politician/id/a54da4a0730f45e3a415a7a42c73bbc3,,http://www.ncga.state.nc.us/House/pictures/hiRes/630.jpg
NCL000155,Mitchell S Setzer,Mitchell,Setzer,lower,89,Republican,http://influenceexplorer.com/politician/id/a7bbceca515347b48d1b7703585b5912,,http://www.ncga.state.nc.us/House/pictures/hiRes/149.jpg
NCL000010,Dan Blue,Dan,Blue,upper,14,Democratic,http://influenceexplorer.com/politician/id/acb5bd3b66ac4b6ca21b4c3746cc3841,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/268.jpg
NCL000217,Rodney W. Moore,Rodney W.,Moore,lower,99,Democratic,http://influenceexplorer.com/politician/id/aed131dde9664a62aa4c2eef79908ccf,,http://www.ncga.state.nc.us/House/pictures/hiRes/624.jpg
NCL000018,Don Davis,Don,Davis,upper,5,Democratic,http://influenceexplorer.com/politician/id/af89d44a491d4c01b0e530613dd61758,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/230.jpg
NCL000255,Joel D. M. Ford,Joel D. M.,Ford,upper,38,Democratic,http://influenceexplorer.com/politician/id/b0e727275fc7498da9a292dca4f725a6,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/370.jpg
NCL000202,Bill Cook,Bill,Cook,upper,1,Republican,http://influenceexplorer.com/politician/id/b262593067cc4d7db12706fa44ca2d79,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/381.jpg
NCL000303,John Szoka,John,Szoka,lower,45,Republican,http://influenceexplorer.com/politician/id/b5f0a476243e4222949a755925c815fc,,http://www.ncga.state.nc.us/House/pictures/hiRes/662.jpg
NCL000012,Andrew C Brock,Andrew,Brock,upper,34,Republican,http://influenceexplorer.com/politician/id/b70e65a6576d44018f5644d82bdb36a1,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/104.jpg
NCL000080,Tricia Ann Cotham,Tricia,Cotham,lower,100,Democratic,http://influenceexplorer.com/politician/id/b83c701d1f0c45fd99d4016c6c5a1d46,,http://www.ncga.state.nc.us/House/pictures/hiRes/576.jpg
NCL000131,Paul Luebke,Paul,Luebke,lower,30,Democratic,http://influenceexplorer.com/politician/id/ba4b31eee27e458b83a9d1ef7dc6977b,,http://www.ncga.state.nc.us/House/pictures/hiRes/63.jpg
NCL000228,Jason Saine,Jason,Saine,lower,97,Republican,http://influenceexplorer.com/politician/id/ba6d018e82d949f3af074c0e6402d42e,,http://www.ncga.state.nc.us/House/pictures/hiRes/632.jpg
NCL000265,Dean Arp,Dean,Arp,lower,69,Republican,http://influenceexplorer.com/politician/id/ba9709a7184545b19dc010b643277ea6,,http://www.ncga.state.nc.us/House/pictures/hiRes/640.jpg
NCL000201,Jeffrey Lynn Collins,Jeffrey,Collins,lower,25,Republican,http://influenceexplorer.com/politician/id/bc91c918c431496db23446a6da3a7711,,http://www.ncga.state.nc.us/House/pictures/hiRes/611.jpg
NCL000278,Valerie P. Foushee,Valerie P.,Foushee,upper,23,Democratic,http://influenceexplorer.com/politician/id/bfa0478db4c84977836ac6725fbdf8a8,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/383.jpg
NCL000043,Bob Rucho,Bob,Rucho,upper,39,Republican,http://influenceexplorer.com/politician/id/c494d2f9f680495b937249f8805feed2,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/11.jpg
NCL000119,Verla Insko,Verla,Insko,lower,56,Democratic,http://influenceexplorer.com/politician/id/c4ea833b77144dbf87d8a8d12896ac7f,,http://www.ncga.state.nc.us/House/pictures/hiRes/46.jpg
NCL000130,Marvin W Lucas,Marvin,Lucas,lower,42,Democratic,http://influenceexplorer.com/politician/id/c60b1d31b0e6499998c9d0689d94497d,,http://www.ncga.state.nc.us/House/pictures/hiRes/216.jpg
NCL000309,Chris Whitmire,Chris,Whitmire,lower,113,Republican,http://influenceexplorer.com/politician/id/c8bb7337d5b749a2ab7cc7c39dec67d8,,http://www.ncga.state.nc.us/House/pictures/hiRes/660.jpg
NCL000223,John A Torbett,John,Torbett,lower,108,Republican,http://influenceexplorer.com/politician/id/c996b015503247ee95b4533340a71b4e,,http://www.ncga.state.nc.us/House/pictures/hiRes/606.jpg
NCL000092,Elmer Floyd,Elmer,Floyd,lower,43,Democratic,http://influenceexplorer.com/politician/id/cc115a63e37f43ac830b8982b3549ef3,,http://www.ncga.state.nc.us/House/pictures/hiRes/583.jpg
NCL000273,Rick Catlin,Rick,Catlin,lower,20,Republican,http://influenceexplorer.com/politician/id/cd922d4f88d547dfada8ad1529a03b65,,http://www.ncga.state.nc.us/House/pictures/hiRes/668.jpg
NCL000047,Josh Stein,Josh,Stein,upper,16,Democratic,http://influenceexplorer.com/politician/id/d3917a35b626477a9a7afaf7dbf206be,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/267.jpg
NCL000108,Pricey Harrison,Pricey,Harrison,lower,57,Democratic,http://influenceexplorer.com/politician/id/d8b1abf90493459ea0c40891a94ed78c,,http://www.ncga.state.nc.us/House/pictures/hiRes/504.jpg
NCL000091,Susan C Fisher,Susan,Fisher,lower,114,Democratic,http://influenceexplorer.com/politician/id/dbc441fe8da049d3947ca99d0cb406a4,,http://www.ncga.state.nc.us/House/pictures/hiRes/463.jpg
NCL000245,"Ted Davis, Jr.",Ted,Davis,lower,19,Republican,http://influenceexplorer.com/politician/id/ddf382c8806540c1b6e3686deb260dec,,http://www.ncga.state.nc.us/House/pictures/hiRes/637.jpg
NCL000191,E. S. Newton,E. S.,Newton,upper,11,Republican,http://influenceexplorer.com/politician/id/dfb986ebb2e54c44aa76aafb0ea2f3c0,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/362.jpg
NCL000137,Pat McElraft,Pat,McElraft,lower,13,Republican,http://influenceexplorer.com/politician/id/e04a2cccbebf4343b8c910374eee4b5a,,http://www.ncga.state.nc.us/House/pictures/hiRes/570.jpg
NCL000117,Frank Iler,Frank,Iler,lower,17,Republican,http://influenceexplorer.com/politician/id/e211edf4336a42ec945280c858ec49c7,,http://www.ncga.state.nc.us/House/pictures/hiRes/598.jpg
NCL000013,Harry Brown,Harry,Brown,upper,6,Republican,http://influenceexplorer.com/politician/id/e540975c63cc4bf2936cc8e9c8e55498,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/139.jpg
NCL000252,David L. Curtis,David L.,Curtis,upper,44,Republican,http://influenceexplorer.com/politician/id/e74f5a1a10954c6ab39158188dac5466,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/378.jpg
NCL000087,Beverly M Earle,Beverly,Earle,lower,101,Democratic,http://influenceexplorer.com/politician/id/e7aa7963125540208165ffd95686acf2,,http://www.ncga.state.nc.us/House/pictures/hiRes/34.jpg
NCL000212,Bert Jones,Bert,Jones,lower,65,Republican,http://influenceexplorer.com/politician/id/e81e156f0f43454586ae5710f59072d0,,http://www.ncga.state.nc.us/House/pictures/hiRes/620.jpg
NCL000086,Nelson Dollar,Nelson,Dollar,lower,36,Republican,http://influenceexplorer.com/politician/id/e935f01d6c3d43ca8e7ad9a349e798e3,,http://www.ncga.state.nc.us/House/pictures/hiRes/489.jpg
NCL000206,Charles Graham,Charles,Graham,lower,47,Democratic,http://influenceexplorer.com/politician/id/eb68a4fdce75422dad99aad5c6a7f1ab,,http://www.ncga.state.nc.us/House/pictures/hiRes/615.jpg
NCL000276,Jeffrey Elmore,Jeffrey,Elmore,lower,94,Republican,http://influenceexplorer.com/politician/id/ee2787cd9f4a4fb7ae4ba7d36d5ba0fe,,http://www.ncga.state.nc.us/House/pictures/hiRes/643.jpg
NCL000205,Ken Goodman,Ken,Goodman,lower,66,Democratic,http://influenceexplorer.com/politician/id/f16f996defb7488bb8ffc4493a1715d5,,http://www.ncga.state.nc.us/House/pictures/hiRes/614.jpg
NCL000188,Brent Jackson,Brent,Jackson,upper,10,Republican,http://influenceexplorer.com/politician/id/f2f1f4e95df64b8b9297cf6b467b2af6,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/281.jpg
NCL000263,Trudy Wade,Trudy,Wade,upper,27,Republican,http://influenceexplorer.com/politician/id/f3de1f1e9b664ce7923c5d3e87a8c87d,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/377.jpg
NCL000128,David R. Lewis,David R.,Lewis,lower,53,Republican,http://influenceexplorer.com/politician/id/f8eabc2718e441aea2259bbc10274a35,,http://www.ncga.state.nc.us/House/pictures/hiRes/389.jpg
