bill_id,title,created_at,updated_at,subjects
HB 953,Make Conservation Tax Credit Transferrable.,2013-04-17,2014-03-05,"Legal Issues|Public Services|Environmental|Other|Budget, Spending, and Taxes|Housing and Property|Business and Consumers"
HB 954,Increase Wildlife Resources License Fees.,2013-04-17,2014-03-05,Legal Issues|Municipal and County Issues|Public Services|Environmental|Other|State Agencies|Animal Rights and Wildlife Issues
HB 955,School Board Fiscal Accountability Act.,2013-04-17,2014-03-05,"Legal Issues|Municipal and County Issues|Public Services|Budget, Spending, and Taxes|Housing and Property|State Agencies|Education"
HB 956,Regulate Ownership of Aggressive Dog Breeds.,2013-04-17,2014-03-05,Legal Issues|Public Services|Animal Rights and Wildlife Issues|Other|Health|Crime|Insurance
HB 957,Food Desert Zones.,2013-04-18,2014-03-05,"Commerce|Municipal and County Issues|Public Services|Agriculture and Food|Other|Health|Budget, Spending, and Taxes|Welfare and Poverty"
HB 958,Compliance Dismissals/Fee.,2013-04-18,2014-03-05,"Transportation|Legal Issues|Public Services|Judiciary|Crime|Labor and Employment|Other|Budget, Spending, and Taxes|State Agencies"
HB 959,Large Mfg. Facility Extension/Study of 1%/$80.,2013-04-18,2014-03-05,"Commerce|Legislative Affairs|Public Services|Other|Budget, Spending, and Taxes|Business and Consumers"
HB 96,Equal Tax Treatment of Gov't Retiree Benefits.,2013-02-13,2014-03-05,"Senior Issues|Legislative Affairs|Municipal and County Issues|Public Services|Labor and Employment|Budget, Spending, and Taxes|State Agencies|Education"
HB 960,Innovation Through Local Schools.,2013-04-18,2014-03-05,"Municipal and County Issues|Public Services|Civil Liberties and Civil Rights|Labor and Employment|Other|Health|Budget, Spending, and Taxes|Indigenous Peoples|Federal, State, and Local Relations|State Agencies|Education"
HB 961,Tax Modernization and Simplification.,2013-04-18,2014-03-05,"Commerce|Legal Issues|Municipal and County Issues|Public Services|Insurance|Labor and Employment|Other|Budget, Spending, and Taxes|Housing and Property|Education|Business and Consumers|Energy"
